Shoma Anand,Actor,2/16/1958,India
Shobha Sen,Actor,1923-09-00,India
Shruti Marathe,Actor,10/10/1990,India
Smitha Madhav,Singer,,India
Sneha Khanwalkar,Composer,4/28/1983,India
Shweta Kawatra,Model,1976-00-00,India
Sindhuja Rajamaran,Businessperson,1/27/1997,India
Smriti Mishra,Actor,,India
Soumili Biswas,Actor,,India
Sonali Khare,Actor,12/5/1982,India
Srirangam Gopalaratnam,Singer,1/1/1939,India
Sriya Reddy,Actor,4/3/1983,India
Sona Heiden,Actor,6/13/1969,India
Sonarika Bhadoria,Actor,12/3/1992,India
Soni Sori,Human Rights Activist,1/1/1975,India
Sreejita De,Actor,7/19/1989,India
Sonal Mansingh,Choreographer,4/30/1944,India
Sooni Taraporevala,Screenwriter,1/1/1957,India
Sruthi Lakshmi,Actor,9/8/1986,India
Subhadra Pradhan,Field Hockey Player,6/5/1986,India
Sucheta Kadethankar,Athletics Competitor,12/31/1977,India
Suja Karthika,Actor,3/22/1985,India
Suman Mahato,Politician,12/4/1964,India
Suman Bala,Field Hockey Player,12/15/1981,India
Sumita Sanyal,Actor,10/9/1945,India
Sunitha Sarathy,Singer,,India
Sushmita Mukherjee,Actor,,India
Swini Khara,Actor,7/12/1998,India
Swati Sen,Actor,,India
Swargajyoti Barooah,Actor,,India
Taneti Vanitha,Politician,,India
Tarkeshwari Sinha,Politician,12/26/1926,India
Tarla Dalal,Cook,6/3/1936,India
T. P. Rajalakshmi,Film Director,11/11/1911,British India
T. V. Rathinam,Singer,1930-00-00,India
Tapur Chatterjee,Model,4/24/1980,India
Thottakkattu Madhaviamma,Politician,,India
Tina Sani,Singer,,India
Tathoi Deb,Actor,10/11/1997,India
Uma Ramanan,Singer,,India
Unniyarcha,Actor,,India
Tripti Mukherjee,Singer,,India
Uma Chowdhry,Chemist,1/1/1947,India
Uma Rama Rao,Choreographer,7/4/1938,British India
Upinder Singh,Historian,6/22/1959,India
Usha Sharma,Actor,,India
Usha Ganguly,Actor,1945-00-00,India
V. Saroja,Politician,6/12/1948,India
Vandana Srinivasan,Playback Singer,5/22/1988,India
Vanisri,Actor,8/3/1948,India
Vega Tamotia,Actor,5/7/1981,India
Villoo Morawala-Patell,Organizational Founder,6/18/1955,India
Vijayalakshmy Subramaniam,Singer,,India
Viji Prakash,Dancer,5/3/1956,India
Wasna Ahmed,Actor,8/13/1989,India
Shweta Shetty,Singer,1/1/1969,India
Chetna Solanki,Athletics Competitor,1/17/1986,India
Yuvika Chaudhary,Actor,8/2/1986,India
Zoya Khan,Model,4/17/1991,India
Harita Kaur Deol,Aircraft Pilot,1972-00-00,India
Suman Sahai,Biochemist,1/1/2000,India
Isha Chawla,Actor,3/6/1988,India
कजरी (हिन्दी फ़िल्म कलाकार),Actor,,India
Deepti Bhatnagar,Actor,9/30/1967,India
Neelima Tirumalasetti,Television Producer,12/31/1975,India
Khushbir Kaur,Athletics Competitor,7/9/1993,India
Meera Sanyal,Politician,4/15/1961,India
Chandraghanta,Actor,,India
Suhasini Ganguly,Revolutionary,2/3/1909,India
Jyotirmoyee Devi,Writer,1894-01-23,India
Anuradha Ramanan,Writer,6/29/1947,India
Seema Pujare,Cricketer,9/8/1976,India
Mugdha Chaphekar,Actor,3/24/1987,India
Lopamudra Bhattacharji,Cricketer,1/31/1960,India
Y. Vijaya,Actor,2/8/1957,India
Sandhya,Actor,1/1/1924,India
రేకందాస్ ఉత్తరమ్మ,Actor,1/1/1948,India
K. Omanakutty,Singer,,India
Nivetha Tharseth,Actor,10/15/1995,India
Sajitha R. Shankar,Painter,12/9/1967,India
Aishwarya Patekar,Writer,1/1/1977,India
कल्पना (अभिनेत्री),Actor,1/1/1965,India
Kadambari Kadam,Actor,10/13/1988,India
ट्यूलिप जोशी,Actor,,India
स्मिता डोंगरे,Actor,,India
Nuggehalli Pankaja,Novelist,6/2/1929,India
Swati Ghate,Chess Player,1/16/1980,India
Kamala Hampana,Writer,10/28/1935,India
Ramya Nsk,Singer,2000-00-00,India
Ila Mitra,Activist,10/18/1925,India
Sabitha Anand,Actor,5/17/1965,India
Shameem Dev Azad,Singer,,India
Ambika Sukumaran,Actor,9/12/1917,India
Neena Kurup,Actor,5/3/1967,India
Somdatta Sinha,Biologist,1/1/1951,India
Minnie M. Mathan,Scientist,12/16/1937,India
Sreebala K Menon,Film Director,,India
Chandralekha,Singer,,India
Arundhati Bhattacharya,Banker,3/18/1956,India
Renee M. Borges,Ecologist,2/25/1959,India
Antara Kak,Film Director,2000-00-00,India
Ranjana Desai,Judge,10/30/1949,India
Aruna Dhathathreyan,Scientist,1/1/1955,India
Maya Kodnani,Politician,1956-00-00,India
Manasi Scott,Singer,1950-00-00,India
Rajeshwari Chatterjee,Physicist,1/24/1922,India
Kamala Devi,Film Actor,10/8/1933,India
Aishwarya Rajesh,Actor,1/10/1990,India
Sniti Mishra,Singer,6/29/1989,India
Nikita Singh,Academic,10/6/1991,India
Sulabha Arya,Actor,,India
Anita Das,Actor,10/1/1951,India
Gloria Mohanty,Actor,6/27/1932,India
Bina Moharana,Actor,,India
Omvati Devi,Politician,1/1/1949,India
Rama Devi,Politician,7/7/1965,India
Pam Crain,Singer,1939-00-00,India
Cuckoo Moray,Actor,1928-00-00,India
Jaymala Shiledar,Actor,8/12/1926,British India
Maharani Divya Singh,Politician,11/6/1963,India
Krishna Bose,Politician,12/26/1930,India
K.P. Janaki Ammal,Politician,1917-00-00,India
Reba Rakshit,Bodybuilder,1933-00-00,India
Mayavaram Saraswathi Ammal,Flautist,9/3/1921,India
Bimla Kashyap Sood,Politician,2/26/1942,India
Shaalin Zoya,Actor,2/22/1997,India
B K Thelma,Academic,3/13/1955,India
Viji,Actor,1/1/1966,India
Sumitra Charat Ram,Impresario,11/17/1914,India
Chandrama Devi Agrahari,Politician,,India
Ananya Agarwal,Actor,1/21/2004,India
Anasuya Sarabhai,Activist,1885-11-11,India
Kusum Mehdele,Politician,1/1/1943,India
Valsala Menon,Actor,1945-00-00,India
Shammi,Film Actor,4/24/1929,India
Susheela Laxman Bangaru,Politician,3/14/1948,India
Santha P. Nair,Singer,9/5/1929,India
Selma George,Singer,,India
Ankita Bhargava Patel,Actor,8/17/1981,India
Rekha Doshit,Judge,12/13/1952,India
Alice Garg,Activist,1/1/1942,India
Anumol,Actor,11/12/1987,India
Ankita Gaba,Entrepreneur,4/4/1985,India
Anandavally,Film Actor,1/14/1952,India
Indu Shahani,Academic,7/17/1954,India
Jashumatiben Korat,Politician,7/27/1959,India
Atima Srivastava,Writer,1/1/1961,India
Zia Mody,Lawyer,7/19/1956,India
Bhagyashree Thipsay,Chess Player,8/4/1961,India
Arpita Pandey,Actor,3/14/1980,India
Trupti Bhoir,Actor,5/17/1980,India
Bhavani,Actor,11/9/1968,India
Nithya Das,Actor,5/22/1981,India
Dipa Shah,Actor,,India
C K Meena,Journalist,7/27/1957,India
Madhuri,Actor,,India
Santhakumari,Actor,,India
Shalini Kapoor Sagar,Actor,1/4/1976,India
Chetna Pande,Actor,5/3/1989,India
Nilanjana Sharma,Actor,2/21/1972,India
Reema Debnath,Actor,11/13/1979,India
Ritabhari Chakraborty,Actor,6/26/1992,India
Nikki Galrani,Actor,1/3/1993,India
Reyhna Malhotra,Actor,9/26/1990,India
Usharani,Actor,5/29/1958,India
Shreya Sharma,Actor,,India
Varuna Shetty,Actor,,India
Anju Makhija,Writer,,India
Punam Devi,Politician,,India
Nirmala Devi,Singer,6/7/1927,India
Manali Dey,Actor,,India
Ekta Kaul,Actor,3/11/1990,India
Tejashree Pradhan Ketkar,Actor,6/2/1988,India
Pu Chitra,Athletics Competitor,6/9/1995,India
Sunita Rani,Athletics Competitor,12/4/1979,India
J. Shantha,Politician,6/1/1973,India
Anu Malhotra,Documentary Filmmaker,3/26/1961,India
Nikunj Malik,Actor,10/30/1982,India
Meghna Gulzar,Film Director,12/13/1973,India
Priyanka Chaturvedi,Politician,11/19/1979,India
Nimisha Pandey,Film Director,3/27/1983,India
Kanika Maheshwari,Actor,4/24/1981,India
Nisha Rawal,Actor,11/18/1984,India
Renuka Yadav,Field Hockey Player,7/18/1994,India
Nikhat Zareen,Boxer,6/14/1996,India
Shubhlakshmi Sharma,Cricketer,8/11/1989,India
Yashashri Masurkar,Actor,12/30/1986,India
Sonia Singh,Actor,11/4/1985,India
Anice George,Academic,1961-00-00,India
Tanvi Hegde,Actor,11/11/1991,India
Masaba Gupta,Fashion Designer,1/1/1989,India
Navneet Kaur Dhillon,Model,9/23/1992,India
Mrunal Thakur,Actor,8/1/1992,India
Kriti Sanon,Actor,7/27/1990,India
Vithika Sheru,Actor,1/1/1993,India
Maalavika Manoj,Songwriter,9/16/1993,India
Bombay Gnanam,Actor,,India
Shruti Bapna,Actor,,India
Janaki Vishwanathan,Film Director,,India
Rani,Actor,1/1/1974,India
Digangana Suryavanshi,Television Actor,10/15/1997,India
Richa Mukherjee,Actor,7/2/1999,India
Thamizhachi Thangapandian,Poet,4/25/1962,India
Ratna Ghoshal,Actor,,India
Sushma Mukhopadhyay,,1910-00-00,British India
Ritu Guha,Singer,1937-00-00,British India
Devyani Khobragade,Diplomat,1/1/1974,India
Rosamma Punnoose,Politician,5/13/1913,India
Justine Dkhar,Politician,,India
Harshita Gaur,Actor,10/12/1990,India
Ilavarasi,Actor,,India
Jayashree,Actor,5/24/1965,India
P. Kilemsungla,Academic,3/1/1951,India
Savithri Lakshmanan,Politician,10/15/1945,India
Jennifer Mayani,Actor,1979-00-00,India
Saba Mumtaz,Academic,1901-00-00,India
Mili Nair,Singer,1/1/1901,India
Neha Mehta,Actor,6/9/1978,India
Anjali Mukhi,Actor,,India
Vandana Pathak,Actor,1/26/1976,India
Deboshree Chowdhury,Politician,,India
Punarnavi Bhupalam,Actor,5/28/1996,India
Vidhya Unni,Actor,6/30/1990,India
Gungun Uprari,Actor,7/16/1980,India
Roopal Tyagi,Actor,10/5/1989,India
Bhargavi Rao,University Teacher,8/14/1944,India
Gul Khan,Film Producer,3/5/1973,India
